法律依据,出现次数
《中华人民共和国药品管理法(2001年)》第48条第41款,209
《中华人民共和国刑事诉讼法(2012年)》第67条,209
《最高人民法院关于审理抢劫案件具体应用法律若干问题的解释》第1条第1款,208
《中华人民共和国刑法》第291条,208
《中华人民共和国刑法(1997年)》第186条第181款,206
《中华人民共和国刑法(1997年)》第192条,203
《最高人民法院、最高人民检察院关于办理敲诈勒索刑事案件适用法律若干问题的解释》第1条第1款,201
《中华人民共和国刑法》第29条第21款,200
《中华人民共和国刑法(1997年)》第340条,199
《中华人民共和国道路交通安全法(2011年)》第42条第41款,198
《中华人民共和国刑法》第60条,197
《最高人民法院关于审理抢劫、抢夺刑事案件适用法律若干问题的意见》第5条第1款,194
《中华人民共和国刑法》第315条,194
《最高人民法院、最高人民检察院关于办理危害药品安全刑事案件适用法律若干问题的解释》第11条第11款,191
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》第9条第1款,188
《最高人民法院关于办理减刑、假释案件具体应用法律若干问题的规定》第3条,187
《中华人民共和国刑事诉讼法(2012年)》第99条第91款,186
《中华人民共和国刑法(1997年)》第291条,183
《最高人民法院、最高人民检察院关于办理行贿刑事案件具体应用法律若干问题的解释》第2条,182
《中华人民共和国刑法(1997年)》第215条,181
